ID;PART;Population;POP2;Year;Latitude;Longitude;B1;B2;B3;S1U;S1V;S1B;S1G;S1Y;S1R;S2;S3;S4;S5;S6;S7;S8;S9;S10;H1;H2;H3;H4;H5
1;Belly;1;EAST;1901;32,8415;-79,828;8581,057641;21,39914624;45,03926042;0,125743016;0,14535535;0,132830419;0,259550699;0,295852261;0,489413061;9,704388457;0,269350521;0,148950789;3538,614436;40,39813742;-0,278718196;1,887838747;0,776225483;0,281195071;699;417;567;0,303697119;571
2;Belly;1;EAST;1886;32,7974;-80,028;7308,100524;18,22468959;39,27104881;0,117436014;0,137448265;0,144313284;0,248560221;0,286500288;0,497284619;10,6069495;0,269962905;0,13328585;2987,541834;35,56866021;-0,25427611;1,951674405;0,757178633;0,260130582;700;482;572;0,301339735;574
3;Belly;1;EAST;1909;32,0041;-81,04;8196,800381;20,4408987;46,0905919;0,137791125;0,156877948;0,125174671;0,226886532;0,278770499;0,517548332;8,153485383;0,282437404;0,137258434;3561,035092;40,43772203;-0,253185703;1,978275154;0,7964959;0,271534949;700;416;578;0,177392896;577
4;Belly;1;EAST;1908;31,96;-81,133;8234,241374;20,53426777;43,93026999;0,144867362;0,164984535;0,121415941;0,241088128;0,289528736;0,500113178;8,896458894;0,269398729;0,163444754;3474,391241;38,9923199;-0,266030572;1,898890204;0,795070239;0,310363642;700;417;572;0,197789729;578
5;Belly;1;EAST;1889;32,7997;-79,828;8830,996521;22,02243521;51,14653167;0,120002355;0,138497437;0,126384113;0,228602085;0,281591468;0,532475914;10,64599948;0,290715823;0,175099715;3994,966727;46,34223577;-0,277174981;2,104319314;0,804265224;0,368465712;700;479;579;0,214057896;581
6;Belly;1;EAST;1889;32,8199;-79,814;8352,273892;20,8286132;51,44221875;0,100878011;0,11578309;0,105115392;0,238678222;0,300348896;0,56269088;12,99876797;0,314226112;0,127248826;4250,513633;47,48474994;-0,367619618;2,27978452;0,847808355;0,290099904;699;451;577;0,24370595;574
7;Belly;1;EAST;1895;32,785;-80,004;7660,071001;19,10242145;40,3565;0,13240058;0,151816598;0,136623106;0,246601077;0,286935376;0,491904226;8,919635217;0,275717004;0,130315692;3108,708065;35,83204367;-0,251277562;1,875785422;0,765459257;0,244444275;698;417;571;0,259167931;576
8;Belly;0;WEST;1890;30,3488;-90,044;7167,324139;17,87362628;48,39895119;0,084674213;0,0990895;0,10273465;0,213955431;0,287834753;0,605977896;16,19379465;0,335642364;0,118157969;3945,071986;45,41021679;-0,398036702;2,540626959;0,861449875;0,30019532;700;476;584;0,206221654;580
9;Belly;1;EAST;1908;31,9535;-81,062;7938,739839;19,79735621;48,27697917;0,112728606;0,127804044;0,11781163;0,223175508;0,280313077;0,553599263;10,38035541;0,316361702;0,116235161;3828,008937;43,62617703;-0,299728759;2,203636515;0,815683355;0,256140045;698;399;582;0,204198544;583
10;Belly;1;EAST;1905;32,0313;-81,105;8752,186082;21,82590045;50,58634476;0,123616718;0,142630414;0,121722204;0,231127802;0,285587208;0,530975641;10,26552435;0,290069236;0,154835036;3976,92757;45,65855509;-0,291163054;2,091943707;0,81118362;0,323906178;700;416;577;0,208563324;579
11;Belly;1;EAST;1896;32,8493;-79,848;7613,754645;18,98691931;45,3607269;0,111820913;0,129418748;0,104327791;0,242345835;0,300839234;0,549023488;14,85223144;0,299022441;0,13273909;3760,0978;42,30659142;-0,355198421;2,228196725;0,860724177;0,295768806;700;417;575;0,234704156;574
12;Belly;1;EAST;1896;32,8181;-79,852;8508,018134;21,21700283;43,52333333;0,109812371;0,130059376;0,160229153;0,26220119;0,286449769;0,475430479;10,40633417;0,257540624;0,118936372;3260,779837;39,34094474;-0,244835434;1,85421782;0,710139831;0,220533941;700;481;566;0,390184408;570
13;Belly;0;WEST;1939;29,9239;-91,768;8669,98763;21,62091678;49,28329167;0,120321519;0,139803307;0,131355018;0,224185089;0,281386579;0,531731931;9,680849957;0,30403621;0,204453941;3867,739776;44,19248953;-0,276666044;2,043969272;0,787956952;0,417897573;697;481;579;0,205808748;582
14;Belly;0;WEST;1956;34,5625;-92,579;11571,52275;28,8566652;66,62333333;0,131120145;0,148510357;0,111406414;0,230725921;0,286978822;0,534112134;9,916738084;0,290210167;0,20850214;5388,263852;59,90506239;-0,298108341;2,075952366;0,830757316;0,432840511;700;399;577;0,184449506;581
15;Belly;0;WEST;1942;29,7946;-93,219;10693,68101;26,66753368;61,38771547;0,127094627;0,145054621;0,117709517;0,230845327;0,28670063;0,531752002;9,695689786;0,28899293;0,173927145;4899,955517;55,05627162;-0,293277595;2,064543061;0,81694247;0,359080081;700;478;577;0,197526747;574
16;Belly;0;WEST;1942;30,3705;-91,182;9982,368232;24,89368636;58,6379375;0,126836475;0,146228395;0,116939826;0,220255256;0,282042436;0,543453837;11,54756082;0,307771551;0,189283271;4668,89104;53,55998741;-0,302221567;2,151549057;0,820462037;0,407252244;698;416;579;0,16840183;579
17;Belly;0;WEST;1942;29,7925;-93,224;10809,24985;26,95573528;65,42249221;0,11583653;0,133152428;0,114948207;0,21639686;0,280374566;0,560220814;11,00239765;0,347127385;0,167918369;5275,745699;59,476289;-0,312971457;2,206442836;0,826171711;0,370502282;693;416;582;0,177121385;582
18;Belly;1;EAST;1945;28,9394;-80,919;10735,07914;26,77077093;61,31333333;0,128602558;0,148858339;0,125064914;0,22379696;0,281197666;0,530066267;10,94908834;0,288232716;0,200398174;4803,59497;55,71347594;-0,280815965;2,081130801;0,80114964;0,417054812;700;416;578;0,182835356;577
19;Belly;1;EAST;1996;29,6075;-82,302;12419,20523;30,97058662;73,46347826;0,129355959;0,14657743;0,110518147;0,217334228;0,28125111;0,550154521;9,099140779;0,37996428;0,209203729;5960,037549;65,38980625;-0,301139;2,111351879;0,828713587;0,441702687;686;416;581;0,152616794;577
20;Belly;0;WEST;1942;30,3676;-91,189;9112,698672;22,72493434;56,27104881;0,126846869;0,145227917;0,106601744;0,209777586;0,276355563;0,564073784;10,80483642;0,310313626;0,181911637;4514,69632;51,06309872;-0,311265354;2,247007536;0,847686917;0,40875682;700;416;583;0,136214238;582
21;Belly;1;EAST;1869;32,4559;-80,641;7631,413398;19,03095611;50,25241952;0,109706356;0,124809255;0,094269382;0,206401477;0,281160625;0,596924534;12,32441544;0,329261719;0,117073099;4143,644709;46,17495072;-0,368822324;2,426307457;0,878221546;0,284055332;700;399;585;0,147383568;579
22;Belly;1;EAST;1898;32,8149;-79,977;7218,630292;18,0015718;39,68196262;0,163462013;0,186064506;0,130593001;0,209079645;0,261185379;0,504283244;7,131122296;0,276079075;0,170449396;2949,789927;34,11734586;-0,19545199;1,895242607;0,789513525;0,323042958;700;418;581;0,081923402;583
23;Belly;0;WEST;1917;29,8001;-93,328;7739,214684;19,29978724;40,50241952;0,140026992;0,160220088;0,137302577;0,246711082;0,282209766;0,483447279;8,783634609;0,262536063;0,188460702;3055,076841;35,89129653;-0,228284725;1,85967317;0,766342134;0,350475311;700;478;571;0,248567348;576
24;Belly;1;EAST;1903;31,9844;-81,101;6984,287135;17,4171749;41,23739356;0,096743851;0,114968399;0,120220209;0,245945419;0,299960517;0,54471123;12,06161511;0,296194261;0,139474178;3359,587829;37,81849873;-0,34375635;2,171333695;0,831315186;0,302844983;700;449;575;0,285605631;575
25;Belly;1;EAST;1903;33,3516;-82,073;7931,591037;19,77952877;45,94634476;0,125780042;0,144457135;0,11869248;0,225535746;0,283594352;0,537475457;9,190710631;0,291989625;0,12575;3668,103695;40,94712907;-0,291725087;2,070177179;0,822292004;0,26032478;700;415;579;0,186898255;578
26;Belly;1;EAST;1880;30,7431;-81,547;9272,531207;23,12351922;51,71922118;0,141598466;0,1617056;0,1215928;0,230030982;0,281829631;0,514195384;8,077101457;0,279758371;0,18278273;4024,667702;45,31603045;-0,261640549;1,959737617;0,81315253;0,358206191;700;418;576;0,174759815;580
27;Belly;1;EAST;1877;30,7422;-81,549;7475,21858;18,64144284;42,23798546;0,14143915;0,161806251;0,129211149;0,216753914;0,270713895;0,519998428;7,595445025;0,283634533;0,134074074;3216,645342;36,6770229;-0,2332801;1,967499147;0,797061829;0,263790626;700;415;581;0,147045941;575
28;Belly;1;EAST;1877;30,7432;-81,55;8326,846368;20,76520291;48,92483904;0,138027001;0,15839651;0,117981021;0,20890466;0,273033871;0,542561883;8,818543473;0,295720354;0,158083333;3848,264359;43,37688896;-0,275785587;2,088921988;0,827328509;0,330223751;700;415;582;0,121610537;582
29;Belly;1;EAST;1877;30,7369;-81,537;7735,955961;19,29166075;42,51137072;0,154426216;0,177331854;0,120504204;0,222037422;0,277554043;0,510584158;7,810239582;0,276977537;0,201624413;3304,477295;37,06834041;-0,246901939;1,921469639;0,81763178;0,387415188;700;453;577;0,125366592;578
30;Belly;1;EAST;1877;30,7436;-81,548;9549,52153;23,81426815;48,68406023;0,16222638;0,182396575;0,125955528;0,241957163;0,281888305;0,477188504;7,009521091;0,257333579;0,212627243;3744,802974;41,73864133;-0,217784069;1,752673694;0,786418221;0,372666175;700;399;571;0,175861351;580
31;Belly;1;EAST;1877;30,7305;-81,518;10433,39436;26,0184398;54,13666667;0,143566316;0,165027179;0,144609687;0,238177097;0,273773454;0,481152323;7,477256053;0,271199644;0,177814815;3989,411796;46,89648841;-0,197843881;1,802432766;0,751369667;0,320499248;698;415;574;0,225646222;577
32;Belly;1;EAST;1883;32,8359;-79,996;9532,129592;23,77089674;51,55725857;0,140000025;0,161013225;0,121118209;0,243502909;0,290172067;0,502853039;8,808402278;0,272571132;0,183071572;4062,327961;45,70406784;-0,276779088;1,9226901;0,81299701;0,3519899;700;416;571;0,21395319;577
33;Belly;1;EAST;1885;32,7887;-79,98;8412,899309;20,97979878;48,35169792;0,122116954;0,140289477;0,12038316;0,236955064;0,288757175;0,527993239;9,8827212;0,304687537;0,177908681;3828,669198;43,4591489;-0,294709148;2,071475964;0,815120353;0,368533556;697;478;576;0,225786933;576
34;Belly;1;EAST;1885;32,8271;-80,037;9860,52532;24,5898387;51,24274143;0,142235306;0,163158991;0,130750366;0,248533555;0,288753643;0,485965624;8,545636079;0,262328629;0,194444444;3964,682058;45,2463778;-0,253550885;1,8400437;0,778218446;0,357786275;700;419;569;0,238317536;575
35;Belly;1;EAST;1889;32,8365;-79,868;7232,646335;18,03652453;43,32274143;0,133492715;0,151137138;0,113092083;0,214734901;0,275409272;0,545963154;8,665629559;0,300054223;0,141687522;3414,539429;38,32336532;-0,282188558;2,124764406;0,832114327;0,301052603;700;478;582;0,142753558;576
36;Belly;0;WEST;1910;30,8612;-96,946;10787,33012;26,90107261;52,44876428;0,152266389;0,175947123;0,147187457;0,254289721;0,280247376;0,453819741;6,872284956;0,244743308;0,220244131;3831,808669;44,81683914;-0,197251649;1,66598707;0,74611825;0,366923875;700;448;566;0,267165433;574
